city,year,weekofyear,total_cases
sj,2012,9,15
sj,2012,10,18
sj,2012,11,17
sj,2012,12,12
sj,2012,13,13
sj,2012,14,14
sj,2012,15,12
sj,2012,16,14
sj,2012,17,11
sj,2012,18,19
sj,2012,19,17
sj,2012,20,21
sj,2012,21,21
sj,2012,22,17
sj,2012,23,27
sj,2012,24,29
sj,2012,25,37
sj,2012,26,36
sj,2012,27,36
sj,2012,28,29
sj,2012,29,36
sj,2012,30,37
sj,2012,31,46
sj,2012,32,53
sj,2012,33,51
sj,2012,34,55
sj,2012,35,43
sj,2012,36,51
sj,2012,37,55
sj,2012,38,66
sj,2012,39,57
sj,2012,40,56
sj,2012,41,66
sj,2012,42,58
sj,2012,43,56
sj,2012,44,57
sj,2012,45,60
sj,2012,46,71
sj,2012,47,51
sj,2012,48,53
sj,2012,49,51
sj,2012,50,59
sj,2012,51,31
sj,2013,1,34
sj,2013,2,26
sj,2013,3,24
sj,2013,4,23
sj,2013,5,32
sj,2013,6,21
sj,2013,7,22
sj,2013,8,23
sj,2013,9,22
sj,2013,10,15
sj,2013,11,16
sj,2013,12,16
sj,2013,13,16
sj,2013,14,14
sj,2013,15,17
sj,2013,16,19
sj,2013,17,13
iq,2010,26,5
iq,2010,27,2
iq,2010,28,5
iq,2010,29,2
iq,2010,30,2
iq,2010,31,3
iq,2010,32,2
iq,2010,33,2
iq,2010,34,2
iq,2010,35,3
iq,2010,36,3
iq,2010,37,3
iq,2010,38,4
iq,2010,39,3
iq,2010,40,3
iq,2010,41,3
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,7
iq,2010,48,6
iq,2010,49,7
iq,2010,50,6
iq,2010,51,4
iq,2011,52,6
iq,2011,1,4
iq,2011,2,7
iq,2011,3,5
iq,2011,4,3
iq,2011,5,4
iq,2011,6,7
iq,2011,7,8
iq,2011,8,7
iq,2011,9,8
iq,2011,10,8
iq,2011,11,7
iq,2011,12,8
iq,2011,13,7
iq,2011,14,7
iq,2011,15,7
iq,2011,16,6
iq,2011,17,7
iq,2011,18,6
iq,2011,19,2
iq,2011,20,3
iq,2011,21,4
iq,2011,22,3
iq,2011,23,2
iq,2011,24,3
iq,2011,25,2
iq,2011,26,3
iq,2011,27,2
iq,2011,28,3
iq,2011,29,3
iq,2011,30,2
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,3
iq,2011,38,3
iq,2011,39,4
iq,2011,40,3
iq,2011,41,6
iq,2011,42,6
iq,2011,43,5
iq,2011,44,5
iq,2011,45,6
iq,2011,46,7
iq,2011,47,6
iq,2011,48,6
iq,2011,49,6
iq,2011,50,7
iq,2011,51,7
iq,2012,52,8
iq,2012,1,8
iq,2012,2,7
iq,2012,3,5
iq,2012,4,4
iq,2012,5,7
iq,2012,6,8
iq,2012,7,5
iq,2012,8,4
iq,2012,9,3
iq,2012,10,8
iq,2012,11,3
iq,2012,12,3
iq,2012,13,7
iq,2012,14,4
iq,2012,15,7
iq,2012,16,8
iq,2012,17,7
iq,2012,18,6
iq,2012,19,2
iq,2012,20,5
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,2
iq,2012,25,3
iq,2012,26,3
iq,2012,27,2
iq,2012,28,2
iq,2012,29,3
iq,2012,30,2
iq,2012,31,2
iq,2012,32,2
iq,2012,33,3
iq,2012,34,3
iq,2012,35,2
iq,2012,36,2
iq,2012,37,3
iq,2012,38,3
iq,2012,39,3
iq,2012,40,2
iq,2012,41,6
iq,2012,42,4
iq,2012,43,6
iq,2012,44,6
iq,2012,45,6
iq,2012,46,6
iq,2012,47,8
iq,2012,48,7
iq,2012,49,6
iq,2012,50,6
iq,2012,51,7
iq,2013,1,8
iq,2013,2,4
iq,2013,3,4
iq,2013,4,8
iq,2013,5,6
iq,2013,6,8
iq,2013,7,8
iq,2013,8,8
iq,2013,9,7
iq,2013,10,8
iq,2013,11,8
iq,2013,12,8
iq,2013,13,7
iq,2013,14,7
iq,2013,15,7
iq,2013,16,7
iq,2013,17,7
iq,2013,18,3
iq,2013,19,5
iq,2013,20,6
iq,2013,21,4
iq,2013,22,3
iq,2013,23,4
iq,2013,24,3
iq,2013,25,2
iq,2013,26,3
