city,year,weekofyear,total_cases
sj,2011,7,23
sj,2011,8,18
sj,2011,9,17
sj,2011,10,17
sj,2011,11,16
sj,2011,12,22
sj,2011,13,20
sj,2011,14,35
sj,2011,15,26
sj,2011,16,18
sj,2011,17,16
sj,2011,18,31
sj,2011,19,17
sj,2011,20,40
sj,2011,21,41
sj,2011,22,31
sj,2011,23,37
sj,2011,24,57
sj,2011,25,52
sj,2011,26,47
sj,2011,27,44
sj,2011,28,44
sj,2011,29,33
sj,2011,30,59
sj,2011,31,50
sj,2011,32,51
sj,2011,33,50
sj,2011,34,47
sj,2011,35,48
sj,2011,36,49
sj,2011,37,58
sj,2011,38,38
sj,2011,39,52
sj,2011,40,47
sj,2011,41,34
sj,2011,42,21
sj,2011,43,26
sj,2011,44,26
sj,2011,45,45
sj,2011,46,26
sj,2011,47,39
sj,2011,48,41
sj,2011,49,23
sj,2011,50,26
sj,2011,51,18
sj,2012,52,24
sj,2012,1,33
sj,2012,2,23
sj,2012,3,18
sj,2012,4,23
sj,2012,5,18
sj,2012,6,17
sj,2012,7,20
sj,2012,8,19
sj,2012,9,19
sj,2012,10,20
sj,2012,11,15
sj,2012,12,17
sj,2012,13,25
sj,2012,14,29
sj,2012,15,21
sj,2012,16,29
sj,2012,17,18
sj,2012,18,46
sj,2012,19,36
sj,2012,20,28
sj,2012,21,33
sj,2012,22,23
sj,2012,23,34
sj,2012,24,41
sj,2012,25,43
sj,2012,26,35
sj,2012,27,34
sj,2012,28,38
sj,2012,29,39
sj,2012,30,39
sj,2012,31,40
sj,2012,32,58
sj,2012,33,44
sj,2012,34,51
sj,2012,35,37
sj,2012,36,47
sj,2012,37,45
sj,2012,38,42
sj,2012,39,49
sj,2012,40,49
sj,2012,41,43
sj,2012,42,53
sj,2012,43,42
sj,2012,44,37
sj,2012,45,45
sj,2012,46,48
sj,2012,47,27
sj,2012,48,28
sj,2012,49,39
sj,2012,50,17
sj,2012,51,20
sj,2013,1,30
sj,2013,2,26
sj,2013,3,15
sj,2013,4,15
sj,2013,5,27
sj,2013,6,18
sj,2013,7,19
sj,2013,8,12
sj,2013,9,19
sj,2013,10,19
sj,2013,11,16
sj,2013,12,16
sj,2013,13,23
sj,2013,14,27
sj,2013,15,31
sj,2013,16,22
sj,2013,17,29
iq,2010,26,10
iq,2010,27,5
iq,2010,28,10
iq,2010,29,3
iq,2010,30,4
iq,2010,31,4
iq,2010,32,3
iq,2010,33,7
iq,2010,34,4
iq,2010,35,5
iq,2010,36,12
iq,2010,37,6
iq,2010,38,6
iq,2010,39,5
iq,2010,40,5
iq,2010,41,6
iq,2010,42,10
iq,2010,43,11
iq,2010,44,10
iq,2010,45,6
iq,2010,46,9
iq,2010,47,13
iq,2010,48,12
iq,2010,49,9
iq,2010,50,8
iq,2010,51,8
iq,2011,52,7
iq,2011,1,4
iq,2011,2,12
iq,2011,3,8
iq,2011,4,6
iq,2011,5,8
iq,2011,6,11
iq,2011,7,13
iq,2011,8,11
iq,2011,9,13
iq,2011,10,11
iq,2011,11,11
iq,2011,12,11
iq,2011,13,10
iq,2011,14,13
iq,2011,15,10
iq,2011,16,8
iq,2011,17,12
iq,2011,18,11
iq,2011,19,4
iq,2011,20,5
iq,2011,21,8
iq,2011,22,5
iq,2011,23,5
iq,2011,24,9
iq,2011,25,4
iq,2011,26,3
iq,2011,27,4
iq,2011,28,3
iq,2011,29,3
iq,2011,30,4
iq,2011,31,4
iq,2011,32,3
iq,2011,33,3
iq,2011,34,4
iq,2011,35,4
iq,2011,36,5
iq,2011,37,10
iq,2011,38,6
iq,2011,39,9
iq,2011,40,10
iq,2011,41,11
iq,2011,42,11
iq,2011,43,8
iq,2011,44,6
iq,2011,45,10
iq,2011,46,13
iq,2011,47,10
iq,2011,48,10
iq,2011,49,13
iq,2011,50,12
iq,2011,51,11
iq,2012,52,10
iq,2012,1,8
iq,2012,2,8
iq,2012,3,9
iq,2012,4,6
iq,2012,5,8
iq,2012,6,8
iq,2012,7,8
iq,2012,8,9
iq,2012,9,7
iq,2012,10,9
iq,2012,11,5
iq,2012,12,5
iq,2012,13,10
iq,2012,14,7
iq,2012,15,9
iq,2012,16,11
iq,2012,17,10
iq,2012,18,8
iq,2012,19,3
iq,2012,20,10
iq,2012,21,4
iq,2012,22,4
iq,2012,23,5
iq,2012,24,3
iq,2012,25,4
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,5
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,5
iq,2012,35,7
iq,2012,36,3
iq,2012,37,4
iq,2012,38,5
iq,2012,39,5
iq,2012,40,5
iq,2012,41,12
iq,2012,42,11
iq,2012,43,11
iq,2012,44,7
iq,2012,45,8
iq,2012,46,11
iq,2012,47,12
iq,2012,48,13
iq,2012,49,9
iq,2012,50,10
iq,2012,51,14
iq,2013,1,13
iq,2013,2,4
iq,2013,3,6
iq,2013,4,9
iq,2013,5,11
iq,2013,6,13
iq,2013,7,11
iq,2013,8,12
iq,2013,9,13
iq,2013,10,10
iq,2013,11,10
iq,2013,12,12
iq,2013,13,9
iq,2013,14,12
iq,2013,15,10
iq,2013,16,10
iq,2013,17,12
iq,2013,18,3
iq,2013,19,12
iq,2013,20,11
iq,2013,21,7
iq,2013,22,11
iq,2013,23,5
iq,2013,24,4
iq,2013,25,4
iq,2013,26,3
